Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [14/Jul/2026 01:34:30] "GET /data/tough-mudder.json HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:30] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:31] "GET /give.html?runner=jordan-lee HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:31] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:31] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:31] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:31] "GET /js/shared.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:31] "GET /js/give.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:31] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:31] "GET /data/tough-mudder.json HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:31] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:32] "GET /media.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:32] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:32] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:32] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:32] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:32] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:33] "GET /404.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:33] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:33] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:33] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:33] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:35] "GET /event-list/ HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:35] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:35] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:35] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:35] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:35] "GET /js/shared.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:35] "GET /js/dashboard.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:35] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:35] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:35] "GET /data/tough-mudder.json HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:35] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:36] "GET /refund-policy/ HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:36] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:36] "GET /resources.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:36] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:36] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:36] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:36] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:36] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:37] "GET /who-we-are/ HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:37] "GET /who-we-are.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:37] "GET /favicon.ico HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:37] "GET /css/site.css HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:37] "GET /assets/fonts/fraunces-latin-var.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:37] "GET /js/nav.js HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:37] "GET /assets/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:37] "GET /assets/favicon-64.png HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /who-we-are.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /events.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /tough-mudder.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /resources.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /media.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /donate.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /who-we-are.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /who-we-are.html HTTP/1.1" 200 -
127.0.0.1 - - [14/Jul/2026 01:34:38] "GET /events.html HTTP/1.1" 200 -
